type(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String),ident(String),name(String),elevation_ft(Integer)
small_airport,NA,US,US-MO,Ozark,MO66,MO66,"37.059167, -93.145556",MO66,Linden Air Airport,1280
small_airport,NA,US,US-MO,Poplar Bluff,MO67,MO67,"36.71120071411133, -90.31400299072266",MO67,Hayes Field,323
small_airport,NA,US,US-MO,Fair Grove,MO68,MO68,"37.40530014038086, -93.09960174560547",MO68,Eads Ridge Airport,1310
heliport,NA,US,US-MO,Kansas City,MO69,MO69,"39.006099700927734, -94.57720184326172",MO69,Baptist Medical Center Heliport,170
heliport,NA,US,US-MO,St Louis,MO7,MO7,"38.62530136, -90.18299866",MO7,St Louis Downtown Heliport,387
heliport,NA,US,US-MO,Maryville,MO70,MO70,"40.32809829711914, -90.8761978149414",MO70,St Francis Hospital Heliport,1115
small_airport,NA,US,US-MO,Holt,MO71,MO71,"39.46310043334961, -94.41829681396484",MO71,Block Air Village Airport,1030
small_airport,NA,US,US-MO,Van Buren,MO72,MO72,"37.04029846191406, -90.8667984008789",MO72,Flying 'J' Ranch Airport,690
small_airport,NA,US,US-MO,Williamsville,MO73,MO73,"36.98759841918945, -90.55840301513672",MO73,Rolling Shoals Farm Airport,450
small_airport,NA,US,US-MO,Columbia,MO74,MO74,"38.922298431396484, -92.16960144042969",MO74,Cedar Creek Airport,820
small_airport,NA,US,US-MO,Montrose,MO75,MO75,"38.30500030517578, -94.05329895019531",MO75,Brownsberger Airport,794
heliport,NA,US,US-MO,Saint Robert,MO76,MO76,"37.8232444, -92.1610167",MO76,Life Line 2 Heliport,1059
small_airport,NA,US,US-MO,Ava,MO77,MO77,"36.975101470947266, -92.5427017211914",MO77,Arnika Ranch Airport,1320
